type,category,function,code,translate_key,name,word,word_default,multiple_row_flg,admin_flg
1,4,11,15,user/userTerms,会員/個人情報規約,個人情報取扱について,個人情報取扱について,0,0
1,4,11,16,user/withdraw/backBtn,退会申請画面/戻るボタン,戻る,戻る,0,0
1,4,11,17,user/withdraw/dialogMessage,退会申請画面/ダイアログメッセージ,退会をしてもよろしいですか？,退会をしてもよろしいですか？,0,0
1,4,11,18,user/withdraw/dialogTitle,退会申請画面/ダイアログタイトル,退会,退会,0,0
1,4,11,19,user/withdraw/message,退会申請画面/メッセージ,"退会した場合、お客様の情報がすべて削除されます。
退会される場合は、「退会」ボタンをクリックしてください","退会した場合、お客様の情報がすべて削除されます。
退会される場合は、「退会」ボタンをクリックしてください",1,0
1,4,11,20,user/withdraw/withdrawBtn,退会申請画面/退会ボタン,退会,退会,0,0
1,4,11,21,user/withdrawFinish/message,退会申請画面完了画面/メッセージ,退会手続きが完了しました。またのご利用お待ちしております。,退会手続きが完了しました。またのご利用お待ちしております。,1,0
1,4,11,22,user/detail/mailEditBtn,会員詳細/メールアドレス変更ボタン,メールアドレスを変更,メールアドレスを変更,0,0
1,4,11,23,user/mailEdit/message,メールアドレス編集/説明文言,"新しいメールアドレスを入力してください。
変更後に届く自動返信メールに記載のURLから認証を行ってください。","新しいメールアドレスを入力してください。
変更後に届く自動返信メールに記載のURLから認証を行ってください。",1,0
1,4,11,24,user/mailEdit/newMail,メールアドレス編集/新しいメールアドレス,新しいメールアドレス,新しいメールアドレス,0,0
1,4,11,25,user/mailEdit/newMailConf,メールアドレス編集/新しいメールアドレス確認,新しいメールアドレス（確認）,新しいメールアドレス（確認）,0,0
1,4,11,26,user/mailEdit/nextBtn,メールアドレス編集/変更するボタン,メールアドレスを変更する,メールアドレスを変更する,0,0
1,4,11,27,user/mailEdit/backBtn,メールアドレス編集/戻るボタン,戻る,戻る,0,0
1,4,11,28,user/mailEditFinish/message,メールアドレス編集完了画面/メッセージ,"入力いただいたメールアドレスにメールをお送りしました。
メールに記載のURLから認証を行ってください。","入力いただいたメールアドレスにメールをお送りしました。
メールに記載のURLから認証を行ってください。",1,0
1,4,11,29,user/mailEditApproval/message,メールアドレス変更認証完了画面/メッセージ,メールアドレスを変更しました。,メールアドレスを変更しました。,1,0
1,4,12,1,userAdd/backBtn,会員確認画面/戻るボタン,戻る,戻る,0,0
1,4,12,2,userAdd/finishBtn,会員確認画面/完了ボタン,会員情報を登録する,会員情報を登録する,0,0
1,4,12,3,userAdd/finishMessage,会員登録完了画面/メッセージ,"会員登録が完了しました。
登録したメールアドレスにメールをお送りしましたので、ご確認ください。","会員登録が完了しました。
登録したメールアドレスにメールをお送りしましたので、ご確認ください。",1,0
1,4,12,4,userAdd/stepTitle,会員登録/ステップタイトル,会員登録,会員登録,0,0
1,4,12,5,userAdd/step1,会員登録/ステップ1,入力,入力,0,0
1,4,12,6,userAdd/step2,会員登録/ステップ2,確認,確認,0,0
1,4,12,7,userAdd/step3,会員登録/ステップ3,完了,完了,0,0
1,4,13,1,userEdit/stepTitle,会員編集/ステップタイトル,会員編集,会員編集,0,0
1,4,13,2,userEdit/step1,会員編集/ステップ1,入力,入力,0,0
1,4,13,3,userEdit/step2,会員編集/ステップ2,確認,確認,0,0
1,4,13,4,userEdit/step3,会員編集/ステップ3,完了,完了,0,0
1,4,13,5,userEdit/backBtn,会員編集確認画面/戻るボタン,戻る,戻る,0,0
1,4,13,6,userEdit/finishBtn,会員編集確認画面/変更ボタン,会員情報を変更する,会員情報を変更する,0,0
1,4,13,7,userEdit/finishMessage,会員編集完了画面/メッセージ,"会員情報の変更が完了しました。
登録いただいたメールアドレスにメールをお送りしましたので、ご確認ください。","会員情報の変更が完了しました。
登録いただいたメールアドレスにメールをお送りしましたので、ご確認ください。",1,0
1,4,14,1,userMailAdd/message,会員オプトイン/メッセージ,"『利用規約』に同意のうえ、メールアドレスを登録してください。
登録後に届く自動返信メールに記載のURLから登録フォームへ進んでください。","『利用規約』に同意のうえ、メールアドレスを登録してください。
登録後に届く自動返信メールに記載のURLから登録フォームへ進んでください。",1,0
1,4,14,2,userMailAdd/mail,会員オプトイン/メールアドレス,メールアドレス,メールアドレス,0,0
1,4,14,3,userMailAdd/mailConfirm,会員オプトイン/メールアドレス（確認）,メールアドレス（確認）,メールアドレス（確認）,0,0
1,4,14,4,userMailAdd/nextBtn,会員オプトイン/登録ボタン,登録する,登録する,0,0
1,4,14,5,userMailAdd/finishMessage,会員オプトイン完了画面/メッセージ,"登録いただいたメールアドレスにメールをお送りしました。
メールに記載のURLから登録フォームに進んでください。","登録いただいたメールアドレスにメールをお送りしました。
メールに記載のURLから登録フォームに進んでください。",1,0
1,5,15,1,calendar/eventListPopupTitle,予約状況画面/一覧ポップアップタイトル,予約枠一覧,予約枠一覧,0,0
1,5,15,2,calendar/multipleDateTimetablePopupTitle,予約状況画面/予約枠時間一覧（複数日）ポップアップタイトル,予約枠時間一覧,予約枠時間一覧,0,0
1,5,15,3,calendar/searchTitle,予約状況画面/検索タイトル,予約枠検索,予約枠検索,0,0
1,5,15,4,calendar/singleDateTimetablePopupTitle,予約状況画面/予約枠時間一覧（1日）ポップアップタイトル,予約枠時間一覧,予約枠時間一覧,0,0
1,5,15,5,reservation/calendar/canScroll,予約状況画面/カレンダースクロール説明,スケジュールは左右スクロール可能です,スケジュールは左右スクロール可能です,0,0
1,5,15,6,reservation/calendar/dateBtn,予約状況画面/日付を変えるボタン,日付を変える,日付を変える,0,0
1,5,15,7,reservation/calendar/exceedLimit,予約状況画面/表示上限メッセージ,"1日に表示する件数が多いため、こちらの表示形式では表示できません。
受付状況を絞り込むか、別の表示形式で表示をお願いいたします。
","1日に表示する件数が多いため、こちらの表示形式では表示できません。
受付状況を絞り込むか、別の表示形式で表示をお願いいたします。
",1,0
1,5,15,8,reservation/calendar/listBtn,予約状況画面/一覧ボタン,一覧,一覧,0,0
1,5,15,9,reservation/calendar/listHeaderDate,予約状況画面/日付（一覧ヘッダー）,日付,日付,0,0
1,5,15,10,reservation/calendar/listHeaderStock,予約状況画面/空き情報（一覧ヘッダー）,空き情報,空き情報,0,0
1,5,15,11,reservation/calendar/listHeaderTime,予約状況画面/時間（一覧ヘッダー）,時間,時間,0,0
1,5,15,12,reservation/calendar/listIcon,予約状況画面/一覧アイコン,一覧,一覧,0,0
1,5,15,13,reservation/calendar/noResult,予約状況画面/データなし,該当する期間に予約枠は見つかりません,該当する期間に予約枠は見つかりません,1,0
1,5,15,14,reservation/calendar/otherEventLink,予約状況画面/1ヶ月表示全て見るリンク,全て見る,全て見る,0,0
1,5,15,15,reservation/calendar/remainStock,予約状況画面/残り,残り,残り,0,0
1,5,15,16,reservation/calendar/resetBtn,予約状況画面/リセットボタン,リセットする,リセットする,0,0
1,5,15,17,reservation/calendar/searchBtn,予約状況画面/検索ボタン,予約状況を見る,予約状況を見る,0,0
1,5,15,18,reservation/calendar/typeBtn/Day1Day,予約状況画面/タイプ変更ボタン/日にち表示（1日）,日にち表示,日にち表示,0,0
1,5,15,19,reservation/calendar/typeBtn/Day1Week,予約状況画面/タイプ変更ボタン/日にち表示（1週間）,日にち表示,日にち表示,0,0
1,5,15,20,reservation/calendar/typeBtn/List,予約状況画面/typeBtn/List,一覧表示,一覧表示,0,0
1,5,15,21,reservation/calendar/typeBtn/Month,予約状況画面/タイプ変更ボタン/1ヶ月表示,1ヶ月表示,1ヶ月表示,0,0
1,5,15,22,reservation/calendar/typeBtn/Subject1Day,予約状況画面/タイプ変更ボタン/時間割表示（1日）,時間割表示,時間割表示,0,0
1,5,15,23,reservation/calendar/typeBtn/Subject1Week,予約状況画面/タイプ変更ボタン/時間割表示（1週間）,時間割表示,時間割表示,0,0
1,5,15,24,reservation/calendar/typeBtn/Time1Day,予約状況画面/タイプ変更ボタン/時間表示（1日）,時間表示,時間表示,0,0
1,5,15,25,reservation/calendar/typeBtn/Time1Week,予約状況画面/時間表示（1週間）,時間表示,時間表示,0,0
1,5,15,26,reservation/calendar/selectEvents,予約状況画面/予約枠選択未選択表記,全ての枠,全ての枠,0,0
1,5,15,27,eventsDetail/eventName,予約枠詳細/名称,名称,名称,0,0
1,5,15,28,eventsDetail/labelName,予約枠詳細/カテゴリー,カテゴリー,カテゴリー,0,0
1,5,16,1,reservation/agreeReservationTerms,予約画面/利用規約同意チェック,利用規約に同意する,利用規約に同意する,0,0
1,5,16,2,reservation/agreeUserTerms,予約画面/個人情報規約チェック,個人情報規約に同意する,個人情報規約に同意する,0,0
1,5,16,3,reservationsAdd/stepTitle,予約画面/stepタイトル,予約登録,予約登録,0,0
1,5,16,4,reservationsAdd/step1,予約画面/step1,入力,入力,0,0
1,5,16,5,reservationsAdd/step2,予約画面/step2,確認,確認,0,0
